Name,Lat,Long,Year,Mean
OUYEN (POST OFFICE),-35.0682,142.3125,1920,29.3
OUYEN (POST OFFICE),-35.0682,142.3125,1930,24.59
OUYEN (POST OFFICE),-35.0682,142.3125,1940,25.48
OUYEN (POST OFFICE),-35.0682,142.3125,1950,27.68
OUYEN (POST OFFICE),-35.0682,142.3125,1960,31.8
OUYEN (POST OFFICE),-35.0682,142.3125,1970,28.05
OUYEN (POST OFFICE),-35.0682,142.3125,1980,31.32
OUYEN (POST OFFICE),-35.0682,142.3125,1990,26.32
OUYEN (POST OFFICE),-35.0682,142.3125,2000,27.87
OUYEN (POST OFFICE),-35.0682,142.3125,2010,26.16
OUYEN (POST OFFICE),-35.0682,142.3125,2020,24.46
OUYEN (POST OFFICE),-35.0682,142.3125,2030,27.61
PANITYA,-35.2500,141.1000,1940,14.4
PANITYA,-35.2500,141.1000,1950,22.91
PANITYA,-35.2500,141.1000,2030,21.49
PIANGIL,-35.5000,143.3000,1900,19.96
PIANGIL,-35.5000,143.3000,1910,23.49
PIANGIL,-35.5000,143.3000,1920,26.73
PIANGIL,-35.5000,143.3000,1930,21.94
PIANGIL,-35.5000,143.3000,1940,24.38
PIANGIL,-35.5000,143.3000,1950,21.65
PIANGIL,-35.5000,143.3000,2030,23.64
PIRA WILD HORSE PLAINS,-35.2551,143.3471,1900,23.97
PIRA WILD HORSE PLAINS,-35.2551,143.3471,1910,24.78
PIRA WILD HORSE PLAINS,-35.2551,143.3471,1920,29.27
PIRA WILD HORSE PLAINS,-35.2551,143.3471,1930,24.99
PIRA WILD HORSE PLAINS,-35.2551,143.3471,1940,23.87
PIRA WILD HORSE PLAINS,-35.2551,143.3471,1950,25.64
PIRA WILD HORSE PLAINS,-35.2551,143.3471,1960,30.16
PIRA WILD HORSE PLAINS,-35.2551,143.3471,1970,26.36
PIRA WILD HORSE PLAINS,-35.2551,143.3471,1980,34.94
PIRA WILD HORSE PLAINS,-35.2551,143.3471,1990,27.98
PIRA WILD HORSE PLAINS,-35.2551,143.3471,2000,29.35
PIRA WILD HORSE PLAINS,-35.2551,143.3471,2010,27.82
PIRA WILD HORSE PLAINS,-35.2551,143.3471,2020,25.13
PIRA WILD HORSE PLAINS,-35.2551,143.3471,2030,27.62
PIRLTA,-34.3620,141.9038,1930,22.83
PIRLTA,-34.3620,141.9038,1950,21.99
PIRLTA,-34.3620,141.9038,1960,26.95
PIRLTA,-34.3620,141.9038,1970,23.33
PIRLTA,-34.3620,141.9038,1980,25.25
PIRLTA,-34.3620,141.9038,2000,21.6
PIRLTA,-34.3620,141.9038,2010,19.5
PIRLTA,-34.3620,141.9038,2020,19.24
PIRLTA,-34.3620,141.9038,2030,22.4
RED CLIFFS (POST OFFICE),-34.3075,142.1882,1940,20.38
RED CLIFFS (POST OFFICE),-34.3075,142.1882,1950,20.95
RED CLIFFS (POST OFFICE),-34.3075,142.1882,1960,26.35
RED CLIFFS (POST OFFICE),-34.3075,142.1882,1970,23.53
RED CLIFFS (POST OFFICE),-34.3075,142.1882,1980,27.27
RED CLIFFS (POST OFFICE),-34.3075,142.1882,1990,24.29
RED CLIFFS (POST OFFICE),-34.3075,142.1882,2000,26.22
RED CLIFFS (POST OFFICE),-34.3075,142.1882,2010,18.39
RED CLIFFS (POST OFFICE),-34.3075,142.1882,2020,21.77
RED CLIFFS (POST OFFICE),-34.3075,142.1882,2030,23.56
ROBINVALE,-34.5898,142.7686,1930,21.03
ROBINVALE,-34.5898,142.7686,1940,23.53
ROBINVALE,-34.5898,142.7686,1950,24.2
ROBINVALE,-34.5898,142.7686,1960,28.04
ROBINVALE,-34.5898,142.7686,1970,25.28
ROBINVALE,-34.5898,142.7686,1980,30.04
ROBINVALE,-34.5898,142.7686,1990,25.23
ROBINVALE,-34.5898,142.7686,2000,25.83
ROBINVALE,-34.5898,142.7686,2010,21.12
ROBINVALE,-34.5898,142.7686,2020,20.61
ROBINVALE,-34.5898,142.7686,2030,24.91
TIEGA,-35.1000,142.2000,1910,29.83
TIEGA,-35.1000,142.2000,1920,27.65
TIEGA,-35.1000,142.2000,1930,24.1
TIEGA,-35.1000,142.2000,1940,24.48
TIEGA,-35.1000,142.2000,1950,23.01
TIEGA,-35.1000,142.2000,1960,27.08
